;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Octubre 1982 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR;;UNION DE CENTRO DEMOCRATICO;;PARTIDO COMUNISTA DE ESPAÑA;;CONVERGENCIA I UNIO;;CENTRO DEMOCRATICO Y SOCIAL;;PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA;;AGRUPACION ELECTORES HERRI BATASUNA;;ESQUERRA REPUBLICANA DE CATALUNYA;;ASOCIACION POLITICA FUERZA NUEVA;;PARTIDO SOCIALISTA DE LOS TRABAJADORES;;EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO;;PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ;;PARTIT DELS COMUNISTES DE CATALUNYA;;BLOQUE PSG;;UNION DEL PUEBLO CANARIO;;NACIONALISTES D'ESQUERRA;;SOLIDARIDAD ESPAÑOLA;;EXTREMADURA UNIDA;;PARTIDO COMUNISTA OBRERO ESPAÑOL;;CONVERGENCIA CANARIA;;UNIFICACION COMUNISTA DE ESPAÑA;;PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA);;ESQUERDA GALEGA;;ASAMBLEA CANARIA - COORDINADORA CANARIA;;UNITAT DEL POBLE VALENCIA;;CANDIDATURA DE UNIDAD COMUNISTA;;ESQUERRA UNIDA DEL PAIS VALENCIA;;MOVIMIENTO FALANGISTA DE ESPAÑA;;AGRUPACION ELECTORAL BLOQUE AGRARIO;;COALICION ELECTORAL PSM-NACIONALISTES DE LES ILLES;;PARTIDO SOCIALISTA DE ARAGON;;ESQUERRA NACIONALISTA VALENCIANA;;PARTIDO SOCIALISTA;;AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE;;LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.);;COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA;;FRENTE DE IZQUIERDA COMUNISTA;;PARTIDO NACIONALISTA CANARIO;;PARTIDO REGIONALISTA DEL PAIS LEONES;;CONSERVADORS DE CATALUNYA;;FALANGE ESPAÑOLA DE LAS JONS;;PARTIDO ASTURIANO DEMOCRATA LIBERAL;;INDEPENDIENTES Y EMIGRANTES DE GALICIA;;PARTIDO RURALISTA ESPAÑOL;;FALANGE ESPAÑOLA INDEPENDIENTE;;PARTIDO NACIONALISTA CEUTI;;AGRUPACION CIUDADANA INDEPENDIENTE;;MOVIMIENTO CATOLICO ESPAÑOL;;COALICION ELECTORAL IZQUIERDA COMUNISTA;;PARTIDO DE EL BIERZO;;ASOCIACION SOCIALDEMOCRATA CANARIA;;IZQUIERDA REPUBLICANA;;FALANGE ASTURIANA;;PARTIDO CARLISTA;;PARTIDO AGRARIO ESPAÑOL;;PARTIDO PROVERISTA;;COORDINADORA DE LA IZQUIERDA RIOJANA;;PUEBLO CANARIO UNIDO;;AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA;;BLOQUE DE IZQUIERDA ASTURIANA;
Castilla - La Mancha          ;16;Cuenca                                            ;212.363;297;162.631;135.175;132.778;132.061;717;2.397;59.676;2;42.274;2;20.119;0;4.257;0;0;0;2.399;0;0;0;0;0;0;0;2.868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;19;Guadalajara                                       ;143.290;356;108.116;91.174;89.610;88.917;693;1.564;34.212;2;33.748;1;12.049;0;3.392;0;0;0;2.919;0;0;0;0;0;0;0;805;0;971;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;99;0;56;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;45;Toledo                                            ;473.948;436;346.764;300.337;293.302;292.305;997;7.035;138.169;3;98.244;2;28.433;0;12.849;0;0;0;5.331;0;0;0;0;0;0;0;6.488;0;1.059;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0;0;0;559;0;0;0;197;0;204;0;0;0;0;0;0;0;157;0;0;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;5;Ávila                                             ;183.188;315;138.655;114.016;111.632;111.075;557;2.384;34.142;1;37.193;1;11.218;0;1.947;0;0;0;25.000;1;0;0;0;0;0;0;414;0;581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;300;0;0;0;0;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;9;Burgos                                            ;360.693;714;273.611;216.779;211.814;210.147;1.667;4.965;79.626;2;90.969;2;20.609;0;3.737;0;0;0;10.404;0;0;0;0;0;0;0;919;0;1.724;0;0;0;0;0;0;0;0;0;0;0;0;0;630;0;0;0;0;0;0;0;660;0;366;0;0;0;0;0;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;24;León                                              ;520.641;626;397.470;306.217;297.733;295.834;1.899;8.484;133.206;3;94.506;2;46.170;1;5.856;0;0;0;8.052;0;0;0;0;0;0;0;1.106;0;1.276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;565;0;445;0;0;0;0;0;0;0;616;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;0;0;0;0;0;0;1.912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;1.454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;34;Palencia                                          ;188.382;367;140.896;118.129;115.881;115.203;678;2.248;49.756;2;44.965;1;12.330;0;2.679;0;0;0;4.516;0;0;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;37;Salamanca                                         ;364.482;561;277.215;224.459;218.482;216.883;1.599;5.977;100.534;3;64.972;1;29.951;0;2.616;0;0;0;8.338;0;0;0;0;0;0;0;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;306;0;0;0;0;0;0;0;342;0;269;0;0;0;0;0;0;0;192;0;0;0;253;0;8.748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;40;Segovia                                           ;148.347;262;112.316;94.734;92.619;91.700;919;2.115;34.375;1;35.483;2;9.680;0;1.348;0;0;0;6.967;0;0;0;0;0;0;0;413;0;1.074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;42;Soria                                             ;100.690;228;78.871;63.458;61.230;60.461;769;2.228;21.639;1;22.820;1;11.453;1;715;0;0;0;2.881;0;0;0;0;0;0;0;405;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;47;Valladolid                                        ;481.470;516;343.171;289.846;281.325;279.175;2.150;8.521;144.409;3;88.057;2;20.704;0;9.622;0;0;0;11.786;0;0;0;0;0;0;0;2.229;0;1.555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453;0;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla y León               ;49;Zamora                                            ;227.771;428;180.190;139.193;132.478;131.110;1.368;6.715;47.804;2;47.504;1;24.725;1;1.368;0;0;0;5.880;0;0;0;0;0;0;0;1.001;0;731;0;0;0;0;0;0;0;0;0;0;0;0;0;266;0;0;0;0;0;0;0;354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;8;Barcelona                                         ;4.599.664;4.782;3.331.611;2.716.289;2.682.414;2.671.596;10.818;33.875;1.292.672;18;385.967;5;40.222;0;131.314;1;560.555;8;49.772;0;0;0;0;0;99.852;1;8.724;0;15.462;0;0;0;6.687;0;41.371;0;0;0;0;0;24.382;0;2.391;0;0;0;2.699;0;0;0;1.689;0;2.011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.937;0;0;0;0;0;0;0;1.889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;17;Girona                                            ;456.274;616;338.724;272.099;267.112;266.150;962;4.987;91.228;2;35.178;1;5.994;0;8.431;0;96.306;2;5.328;0;0;0;0;0;15.157;0;1.377;0;1.596;0;0;0;0;0;1.569;0;0;0;0;0;2.589;0;0;0;0;0;0;0;0;0;204;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;224;0;0;0;0;0;0;0;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;25;Lleida                                            ;352.657;434;268.205;203.403;200.991;200.158;833;2.412;70.821;2;31.832;1;11.484;0;5.495;0;56.188;1;6.286;0;0;0;0;0;11.748;0;743;0;1.273;0;0;0;0;0;1.960;0;0;0;0;0;1.630;0;0;0;0;0;0;0;0;0;216;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;43;Tarragona                                         ;513.050;581;372.329;292.736;287.189;286.074;1.115;5.547;120.880;3;51.098;1;12.535;0;13.313;0;59.677;1;7.009;0;0;0;0;0;11.361;0;1.281;0;1.779;0;0;0;719;0;2.349;0;0;0;0;0;2.042;0;311;0;0;0;444;0;0;0;209;0;183;0;0;0;0;0;0;0;0;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;484;0;0;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura                   ;6;Badajoz                                           ;639.332;681;460.056;371.485;365.197;363.667;1.530;6.288;209.144;5;85.296;2;30.647;0;15.368;0;0;0;5.288;0;0;0;0;0;0;0;895;0;1.310;0;0;0;0;0;0;0;0;0;0;0;0;0;683;0;14.160;0;0;0;0;0;225;0;0;0;0;0;0;0;0;0;611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura                   ;10;Cáceres                                           ;421.453;414;305.672;240.936;235.868;235.104;764;5.068;123.902;4;57.736;1;29.832;0;3.831;0;0;0;4.528;0;0;0;0;0;0;0;785;0;1.595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.988;0;0;0;0;0;263;0;0;0;0;0;0;0;0;0;258;0;0;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0;0;0;0
Galicia                       ;15;A Coruña                                          ;1.092.940;1.111;804.461;523.019;513.738;511.030;2.708;9.281;196.359;4;180.619;4;66.689;1;9.113;0;0;0;14.146;0;0;0;0;0;0;0;1.216;0;5.912;0;0;0;0;0;0;0;16.469;0;0;0;0;0;1.036;0;0;0;1.653;0;0;0;980;0;740;0;8.350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;27;Lugo                                              ;400.881;453;319.960;194.640;191.583;190.387;1.196;3.057;53.263;1;88.462;3;34.567;1;1.391;0;0;0;3.876;0;0;0;0;0;0;0;0;0;1.026;0;0;0;0;0;0;0;5.885;0;0;0;0;0;500;0;0;0;0;0;0;0;256;0;213;0;948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;32;Ourense                                           ;430.030;465;329.847;181.504;179.221;178.569;652;2.283;50.619;1;63.801;2;52.282;2;1.534;0;0;0;3.467;0;0;0;0;0;0;0;399;0;1.056;0;0;0;0;0;0;0;4.081;0;0;0;0;0;0;0;0;0;0;0;0;0;339;0;190;0;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;36;Pontevedra                                        ;882.940;838;619.714;421.897;414.468;412.471;1.997;7.429;126.228;3;155.556;4;76.575;1;8.070;0;0;0;12.099;0;0;0;0;0;0;0;930;0;4.487;0;0;0;0;0;0;0;12.002;0;0;0;0;0;867;0;0;0;0;0;0;0;827;0;698;0;12.262;0;0;0;0;0;704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunidad de Madrid           ;28;Madrid                                            ;4.686.832;5.730;3.274.966;2.815.298;2.762.663;2.750.837;11.826;52.635;1.439.137;18;891.372;11;92.508;1;137.459;1;0;0;113.384;1;0;0;0;0;0;0;22.602;0;8.064;0;0;0;0;0;0;0;0;0;0;0;0;0;10.017;0;0;0;5.210;0;0;0;3.900;0;7.532;0;0;0;0;0;0;0;3.188;0;0;0;2.187;0;0;0;0;0;0;0;0;0;6.375;0;0;0;634;0;0;0;3.772;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;1.710;0;1.694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunidad Foral de Navarra    ;31;Navarra                                           ;472.880;709;375.846;305.693;298.011;296.126;1.885;7.682;112.186;3;76.255;2;31.245;0;2.144;0;0;0;12.278;0;16.363;0;34.744;0;0;0;459;0;1.088;0;8.399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;311;0;0;0;0;0;0;0;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;1;Araba - Álava                                     ;256.982;268;183.109;149.834;146.251;145.417;834;3.583;51.674;2;27.974;1;0;0;1.573;0;0;0;5.604;0;32.103;1;14.540;0;0;0;314;0;854;0;10.180;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;191;0;138;0;0;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;20;Gipuzkoa                                          ;694.681;774;500.820;391.237;384.660;383.003;1.657;6.577;99.972;2;31.308;0;0;0;4.844;0;0;0;6.407;0;125.389;3;74.217;1;0;0;435;0;1.142;0;38.156;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;0;281;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;48;Bizkaia                                           ;1.186.507;1.175;854.204;679.298;664.570;661.252;3.318;14.728;196.974;4;79.866;1;0;0;14.537;0;0;0;9.815;0;221.801;4;87.100;1;0;0;1.289;0;3.815;0;43.591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.225;0;478;0;0;0;0;0;0;0;761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Región de Murcia              ;30;Murcia                                            ;948.141;858;656.052;541.158;532.961;531.107;1.854;8.197;270.552;5;189.642;3;34.354;0;20.065;0;0;0;10.211;0;0;0;0;0;0;0;2.501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.007;0;0;0;708;0;463;0;0;0;0;0;0;0;527;0;0;0;522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Rioja                      ;26;La Rioja                                          ;254.187;346;190.204;159.966;155.995;154.909;1.086;3.971;67.781;2;64.778;2;11.545;0;2.491;0;0;0;5.774;0;0;0;0;0;0;0;669;0;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;116;0;0;0;0;0;0;0;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana          ;3;Alicante / Alacant                                ;1.149.178;956;787.709;665.188;651.383;648.463;2.920;13.805;352.632;6;189.040;3;46.940;0;26.531;0;0;0;16.680;0;0;0;0;0;0;0;3.461;0;3.656;0;0;0;0;0;0;0;0;0;0;0;0;0;863;0;0;0;1.327;0;0;0;688;0;444;0;0;0;0;0;2.414;0;602;0;1.226;0;713;0;0;0;0;0;0;0;0;0;0;0;0;0;636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana          ;12;Castellón / Castelló                              ;429.884;427;314.300;270.118;262.382;261.293;1.089;7.736;130.200;3;73.826;2;33.547;0;8.280;0;0;0;7.100;0;0;0;0;0;0;0;2.777;0;915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;252;0;0;0;0;0;1.589;0;0;0;1.967;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana          ;46;Valencia / València                               ;2.065.242;1.697;1.462.208;1.219.394;1.191.845;1.187.293;4.552;27.549;635.522;10;350.281;5;52.768;0;63.026;0;0;0;28.111;0;0;0;0;0;0;0;12.431;0;7.396;0;0;0;0;0;0;0;0;0;0;0;0;0;1.305;0;0;0;3.579;0;0;0;1.284;0;1.057;0;0;0;0;0;14.513;0;1.468;0;6.109;0;916;0;0;0;0;0;0;0;6.738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Ceuta               ;51;Ceuta                                             ;65.264;36;36.128;26.117;25.690;25.571;119;427;11.698;1;7.674;0;1.870;0;188;0;0;0;2.010;0;0;0;0;0;0;0;173;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.785;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Melilla             ;52;Melilla                                           ;53.593;36;30.107;21.224;21.006;20.854;152;218;10.291;1;5.551;0;3.083;0;0;0;0;0;1.615;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;37.520.072;40.815;26.846.940;21.469.274;21.050.038;20.951.600;98.438;419.236;10.127.392;202;5.548.107;107;1.425.093;11;846.515;4;772.726;12;604.309;2;395.656;8;210.601;2;138.118;1;108.746;0;103.133;0;100.326;1;84.474;0;47.249;0;38.437;0;35.013;0;30.643;0;28.451;0;26.148;0;25.830;0;25.792;0;24.044;0;23.186;0;22.192;0;18.757;0;18.516;0;15.632;0;9.302;0;8.976;0;8.748;0;8.633;0;6.861;0;6.738;0;6.375;0;5.512;0;5.462;0;4.900;0;3.772;0;3.257;0;3.234;0;2.596;0;2.528;0;2.493;0;2.236;0;1.984;0;1.862;0;1.785;0;1.710;0;1.694;0;1.515;0;1.454;0;1.131;0;610;0;532;0;224;0;222;0;168;0;0;0;0;0;0;0;0;0
