;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Octubre 1982 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR;;UNION DE CENTRO DEMOCRATICO;;PARTIDO COMUNISTA DE ESPAÑA;;CONVERGENCIA I UNIO;;CENTRO DEMOCRATICO Y SOCIAL;;PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA;;AGRUPACION ELECTORES HERRI BATASUNA;;ESQUERRA REPUBLICANA DE CATALUNYA;;ASOCIACION POLITICA FUERZA NUEVA;;PARTIDO SOCIALISTA DE LOS TRABAJADORES;;EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO;;PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ;;PARTIT DELS COMUNISTES DE CATALUNYA;;BLOQUE PSG;;UNION DEL PUEBLO CANARIO;;NACIONALISTES D'ESQUERRA;;SOLIDARIDAD ESPAÑOLA;;EXTREMADURA UNIDA;;PARTIDO COMUNISTA OBRERO ESPAÑOL;;CONVERGENCIA CANARIA;;UNIFICACION COMUNISTA DE ESPAÑA;;PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA);;ESQUERDA GALEGA;;ASAMBLEA CANARIA - COORDINADORA CANARIA;;UNITAT DEL POBLE VALENCIA;;CANDIDATURA DE UNIDAD COMUNISTA;;ESQUERRA UNIDA DEL PAIS VALENCIA;;MOVIMIENTO FALANGISTA DE ESPAÑA;;AGRUPACION ELECTORAL BLOQUE AGRARIO;;COALICION ELECTORAL PSM-NACIONALISTES DE LES ILLES;;PARTIDO SOCIALISTA DE ARAGON;;ESQUERRA NACIONALISTA VALENCIANA;;PARTIDO SOCIALISTA;;AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE;;LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.);;COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA;;FRENTE DE IZQUIERDA COMUNISTA;;PARTIDO NACIONALISTA CANARIO;;PARTIDO REGIONALISTA DEL PAIS LEONES;;CONSERVADORS DE CATALUNYA;;FALANGE ESPAÑOLA DE LAS JONS;;PARTIDO ASTURIANO DEMOCRATA LIBERAL;;INDEPENDIENTES Y EMIGRANTES DE GALICIA;;PARTIDO RURALISTA ESPAÑOL;;FALANGE ESPAÑOLA INDEPENDIENTE;;PARTIDO NACIONALISTA CEUTI;;AGRUPACION CIUDADANA INDEPENDIENTE;;MOVIMIENTO CATOLICO ESPAÑOL;;COALICION ELECTORAL IZQUIERDA COMUNISTA;;PARTIDO DE EL BIERZO;;ASOCIACION SOCIALDEMOCRATA CANARIA;;IZQUIERDA REPUBLICANA;;FALANGE ASTURIANA;;PARTIDO CARLISTA;;PARTIDO AGRARIO ESPAÑOL;;PARTIDO PROVERISTA;;COORDINADORA DE LA IZQUIERDA RIOJANA;;PUEBLO CANARIO UNIDO;;AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA;;BLOQUE DE IZQUIERDA ASTURIANA;
Aragón                        ;22;Huesca                                            ;213.232;370;166.852;135.567;130.487;129.660;827;5.080;63.103;2;33.945;1;19.234;0;3.314;0;0;0;6.375;0;0;0;0;0;0;0;407;0;624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;44;Teruel                                            ;152.597;309;120.600;96.545;94.778;94.151;627;1.767;38.834;2;31.779;1;15.570;0;1.124;0;0;0;4.472;0;0;0;0;0;0;0;975;0;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;125;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aragón                        ;50;Zaragoza                                          ;826.766;1.066;617.130;513.450;498.002;494.726;3.276;15.448;255.402;5;156.800;3;34.044;0;16.492;0;0;0;19.918;0;0;0;0;0;0;0;2.654;0;2.952;0;0;0;0;0;0;0;0;0;0;0;0;0;667;0;0;0;0;0;0;0;497;0;469;0;0;0;0;0;0;0;665;0;0;0;0;0;0;0;0;0;4.119;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Principado de Asturias        ;33;Asturias                                          ;1.129.556;1.286;853.981;662.710;651.378;648.579;2.799;11.332;339.575;6;181.965;3;31.763;0;53.017;1;0;0;28.048;0;0;0;0;0;0;0;2.056;0;3.570;0;0;0;0;0;0;0;0;0;0;0;0;0;897;0;0;0;1.713;0;0;0;712;0;567;0;0;0;0;0;0;0;1.223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448;0;0;0;0;0;0;0;0;0;0;0;0;0;2.493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Illes Balears                 ;7;Illes Balears                                     ;655.909;688;466.909;372.330;356.539;354.391;2.148;15.791;144.232;3;134.444;3;37.148;0;5.962;0;0;0;18.722;0;0;0;0;0;0;0;879;0;1.716;0;0;0;0;0;0;0;0;0;0;0;0;0;509;0;0;0;1.178;0;0;0;518;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;35;Las Palmas                                        ;705.604;511;451.580;346.873;335.299;333.551;1.748;11.574;109.366;3;97.701;2;45.905;1;0;0;0;0;19.705;0;0;0;0;0;0;0;758;0;1.746;0;0;0;0;0;0;0;0;0;16.241;0;0;0;574;0;0;0;0;0;25.792;0;602;0;625;0;0;0;12.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;0;0;0;0;0;1.051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;38;Santa Cruz de Tenerife                            ;658.827;581;434.270;326.334;318.433;316.987;1.446;7.901;130.249;4;78.174;2;61.436;1;0;0;0;0;12.587;0;0;0;0;0;0;0;1.315;0;3.469;0;0;0;0;0;0;0;0;0;18.772;0;0;0;0;0;0;0;0;0;0;0;85;0;799;0;0;0;6.132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;632;0;0;0;0;0;2.206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria                     ;39;Cantabria                                         ;513.009;493;376.712;311.415;302.165;300.397;1.768;9.250;135.987;3;117.567;2;16.265;0;9.265;0;0;0;15.281;0;0;0;0;0;0;0;1.716;0;1.760;0;0;0;0;0;0;0;0;0;0;0;0;0;642;0;0;0;0;0;0;0;421;0;0;0;0;0;0;0;0;0;404;0;0;0;827;0;0;0;0;0;0;0;0;0;0;0;0;0;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;2;Albacete                                          ;339.373;431;240.155;196.992;192.882;192.021;861;4.110;103.328;3;55.666;1;16.755;0;8.874;0;0;0;3.846;0;0;0;0;0;0;0;1.388;0;855;0;0;0;0;0;0;0;0;0;0;0;0;0;457;0;0;0;0;0;0;0;129;0;149;0;0;0;0;0;0;0;193;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;13;Ciudad Real                                       ;475.226;481;342.009;285.326;280.174;279.112;1.062;5.152;151.168;3;79.037;2;29.443;0;7.627;0;0;0;5.543;0;0;0;0;0;0;0;3.222;0;1.182;0;0;0;0;0;0;0;0;0;0;0;0;0;236;0;0;0;402;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
