;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congreso | Marzo 1979 | Resultados por circunscripción;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;UNION DE CENTRO DEMOCRATICO;;PARTIDO SOCIALISTA OBRERO ESPAÑOL;;PARTIDO COMUNISTA DE ESPAÑA;;COALICION DEMOCRATICA;;COALICION CONVERGENCIA Y UNIO;;PARTIDO UNION NACIONAL;;PARTIDO ANDALUCISTA;;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;;PARTIDO DEL TRABAJO DE ESPAÑA;;HERRI BATASUNA;;PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO);;ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES;;ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL;;EUSKADIKO EZKERRA;;MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA;;BLOQUE NACIONAL POPULAR GALLEGO;;UNION DEL PUEBLO CANARIO;;BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL;;UNIDADE GALEGA;;IZQUIERDA REPUBLICANA;;PARTIDO CARLISTA;;ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA;;PARTIDO COMUNISTA DE LOS TRABAJADORES;;PARTIDO ARAGONES REGIONALISTA;;LIGA COMUNISTA REVOLUCIONARIA;;UNION FORAL PAIS VASCO;;FALANGE ESPAÑOLA DE LAS JONS AUTENTICA;;UNION DEL PUEBLO NAVARRO;;COALICION POR ARAGON;;PARTIDO NACIONALISTA DE CASTILLA Y LEON;;PARTIDO LIBERAL;;UNIO REGIONAL VALENCIANISTA;;PARTIT NACIONALISTA DEL PAIS VALENCIA;;UNION NAVARRA DE IZQUIERDA;;PARTIDO RURALISTA ESPAÑOL;;PARTIDO DEL PAIS CANARIO;;SOCIALISTAS DE MALLORCA I MENORCA;;PARTIDO SINDICALISTA;;UNION PARA LA LIBERTAD DE EXPRESION;;ESTAT CATALA;;PARTIDO CANTONAL;;CANDIDATURA INDEPENDIENTE DEL CAMPO;;DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA;;PARTIDO PROVERISTA;;ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA;;LIGA COMUNISTA;;CONCEYU NACIONALISTA ASTUR;;FALANGE ESPAÑOLA AUTENTICA;;PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA;;PARTIDO OBRERO Y CAMPESINO;;CANDIDATOS INDEPENDIENTES;;FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA;;FALANGE ESPAÑOLA - UNIDAD FALANGISTA;
Cataluña                      ;8;Barcelona                                         ;4.655.759;5.242;3.466.533;2.337.309;2.294.556;2.284.842;9.714;42.753;387.543;6;694.847;12;436.908;7;84.195;1;362.427;6;20.743;0;0;0;0;0;36.001;0;0;0;29.868;0;11.122;0;88.770;1;2.550;0;10.714;0;0;0;0;0;41.430;0;0;0;15.019;0;2.554;0;14.635;0;10.022;0;0;0;5.775;0;0;0;3.908;0;0;0;0;0;0;0;3.267;0;0;0;0;0;0;0;0;0;0;0;0;0;5.932;0;1.838;0;5.767;0;0;0;0;0;4.976;0;1.622;0;0;0;0;0;0;0;0;0;2.409;0;0;0;0;0;0;0;0;0
Cataluña                      ;17;Girona                                            ;460.808;634;336.539;240.636;236.594;235.866;728;4.042;58.939;2;66.328;2;22.261;0;7.927;0;58.735;1;2.372;0;0;0;0;0;1.229;0;0;0;0;0;513;0;9.964;0;0;0;457;0;0;0;0;0;1.939;0;0;0;1.374;0;517;0;1.455;0;1.440;0;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;25;Lleida                                            ;355.891;492;267.584;174.656;172.170;171.491;679;2.486;54.540;2;42.937;1;18.340;0;5.509;0;27.399;1;1.875;0;0;0;0;0;1.914;0;0;0;0;0;355;0;13.336;0;0;0;562;0;0;0;0;0;1.476;0;0;0;1.066;0;461;0;618;0;0;0;0;0;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;0;561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cataluña                      ;43;Tarragona                                         ;521.889;652;372.005;251.500;247.815;247.224;591;3.685;69.926;2;71.417;2;35.283;1;9.998;0;34.792;0;2.311;0;0;0;0;0;1.201;0;0;0;0;0;1.038;0;11.382;0;0;0;1.295;0;0;0;0;0;2.117;0;0;0;1.099;0;1.622;0;921;0;1.746;0;0;0;375;0;0;0;410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura                   ;6;Badajoz                                           ;662.557;761;461.577;332.132;328.892;328.319;573;3.240;146.699;4;122.680;3;30.873;0;11.194;0;0;0;6.220;0;0;0;0;0;1.852;0;0;0;3.183;0;4.779;0;0;0;0;0;369;0;0;0;0;0;0;0;0;0;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Extremadura                   ;10;Cáceres                                           ;441.306;480;311.681;209.735;207.007;206.551;456;2.728;97.592;3;78.670;2;10.777;0;8.490;0;0;0;5.656;0;0;0;0;0;1.427;0;0;0;0;0;1.503;0;0;0;0;0;974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;15;A Coruña                                          ;1.109.857;1.294;820.874;437.702;429.383;428.981;402;8.319;200.120;6;76.873;2;20.213;0;50.588;1;0;0;4.285;0;0;0;0;0;3.043;0;0;0;12.368;0;1.423;0;0;0;0;0;2.254;0;23.247;0;0;0;0;0;28.136;0;1.490;0;0;0;1.446;0;2.271;0;0;0;1.224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;27;Lugo                                              ;416.972;548;328.638;161.880;159.620;159.120;500;2.260;79.964;3;27.920;1;2.441;0;30.731;1;0;0;816;0;0;0;0;0;407;0;0;0;0;0;286;0;0;0;0;0;264;0;11.834;0;0;0;0;0;2.911;0;658;0;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;216;0
Galicia                       ;32;Ourense                                           ;445.232;514;346.660;143.391;143.391;143.391;0;0;75.271;3;23.292;1;3.829;0;26.901;1;0;0;0;0;0;0;0;0;741;0;0;0;0;0;417;0;0;0;0;0;622;0;7.899;0;0;0;0;0;3.348;0;0;0;606;0;0;0;0;0;0;0;465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galicia                       ;36;Pontevedra                                        ;888.307;1.084;617.127;296.770;291.182;290.298;884;5.588;137.769;5;49.213;2;16.111;0;37.046;1;0;0;2.733;0;0;0;0;0;2.637;0;0;0;0;0;1.081;0;0;0;0;0;1.693;0;17.909;0;0;0;0;0;21.160;0;970;0;877;0;0;0;0;0;0;0;1.099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunidad de Madrid           ;28;Madrid                                            ;4.578.974;5.087;3.177.732;2.328.229;2.307.644;2.298.953;8.691;20.585;764.830;12;769.328;12;310.496;4;198.345;3;0;0;110.730;1;0;0;0;0;25.832;0;0;0;13.322;0;48.354;0;0;0;3.029;0;9.095;0;0;0;0;0;0;0;0;0;7.950;0;1.683;0;6.680;0;4.675;0;0;0;4.691;0;0;0;5.264;0;0;0;0;0;0;0;4.873;0;0;0;0;0;0;0;0;0;0;0;0;0;3.845;0;1.716;0;0;0;0;0;0;0;0;0;1.510;0;0;0;2.705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunidad Foral de Navarra    ;31;Navarra                                           ;506.661;807;363.713;257.005;252.992;252.171;821;4.013;83.302;3;55.399;1;5.619;0;0;0;0;0;0;0;0;0;21.305;0;0;0;22.425;0;0;0;0;0;0;0;0;0;2.962;0;0;0;0;0;0;0;0;0;514;0;19.522;0;0;0;0;0;0;0;1.040;0;0;0;0;0;28.248;1;0;0;0;0;0;0;0;0;0;0;10.970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;0;0;0;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;1;Araba - Álava                                     ;251.965;315;174.145;119.892;116.601;116.120;481;3.291;29.625;2;24.891;1;3.877;0;0;0;0;0;1.061;0;0;0;26.722;1;777;0;11.594;0;683;0;1.218;0;0;0;5.442;0;1.246;0;0;0;0;0;0;0;0;0;0;0;972;0;0;0;7;0;0;0;601;0;7.205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;20;Gipuzkoa                                          ;707.968;744;507.142;334.773;328.647;327.886;761;6.126;50.551;1;59.863;2;10.034;0;0;0;0;0;2.397;0;0;0;87.090;2;0;0;57.811;1;0;0;2.765;0;0;0;42.293;1;4.754;0;0;0;0;0;0;0;0;0;498;0;4.124;0;0;0;0;0;0;0;2.000;0;3.419;0;287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
País Vasco                    ;48;Bizkaia                                           ;1.208.988;1.177;866.185;565.885;553.407;552.280;1.127;12.478;88.431;2;105.481;2;31.942;0;0;0;0;0;7.521;0;0;0;161.480;4;0;0;80.280;2;4.131;0;2.932;0;0;0;32.363;0;7.292;0;0;0;0;0;0;0;0;0;1.229;0;1.380;0;0;0;0;0;0;0;3.039;0;23.484;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Región de Murcia              ;30;Murcia                                            ;938.815;1.097;635.376;461.971;456.209;454.127;2.082;5.762;178.229;4;178.621;4;36.090;0;25.903;0;0;0;6.925;0;0;0;0;0;1.841;0;0;0;7.784;0;4.715;0;0;0;0;0;1.157;0;0;0;0;0;0;0;0;0;0;0;1.847;0;1.684;0;1.050;0;0;0;522;0;0;0;1.469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Rioja                      ;26;La Rioja                                          ;249.676;404;186.097;136.419;134.739;134.093;646;1.680;64.735;3;39.245;1;4.810;0;18.686;0;0;0;1.569;0;0;0;0;0;1.053;0;0;0;0;0;1.546;0;0;0;0;0;982;0;0;0;0;0;0;0;0;0;462;0;583;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana          ;3;Alicante / Alacant                                ;1.118.499;1.289;762.982;560.714;553.932;552.822;1.110;6.782;207.570;4;218.137;4;62.018;1;28.917;0;0;0;10.759;0;0;0;0;0;1.628;0;0;0;5.196;0;3.123;0;0;0;0;0;2.534;0;0;0;0;0;2.568;0;0;0;2.439;0;925;0;922;0;3.538;0;0;0;1.017;0;0;0;1.531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana          ;12;Castellón / Castelló                              ;425.589;543;309.494;243.601;240.299;239.508;791;3.302;111.359;3;85.727;2;17.361;0;8.382;0;0;0;5.033;0;0;0;0;0;1.012;0;0;0;2.913;0;957;0;0;0;0;0;921;0;0;0;0;0;1.060;0;0;0;887;0;1.275;0;962;0;480;0;0;0;341;0;0;0;421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;0;0;0;0;0;0;0
Comunitat Valenciana          ;46;Valencia / València                               ;2.028.359;2.146;1.460.284;1.092.469;1.078.478;1.075.170;3.308;13.991;364.175;6;394.813;7;145.141;2;47.017;0;0;0;27.447;0;0;0;0;0;5.076;0;0;0;11.774;0;6.636;0;0;0;0;0;8.900;0;0;0;0;0;5.992;0;0;0;6.350;0;2.329;0;1.832;0;6.657;0;0;0;2.119;0;0;0;2.324;0;0;0;0;0;0;0;2.947;0;15.694;0;13.828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Ceuta               ;51;Ceuta                                             ;62.861;57;32.831;21.484;21.244;21.132;112;240;11.020;1;7.502;0;0;0;1.669;0;0;0;735;0;0;0;0;0;0;0;0;0;0;0;115;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Melilla             ;52;Melilla                                           ;55.291;44;29.149;17.686;17.520;17.457;63;166;9.035;1;3.750;0;793;0;848;0;0;0;429;0;0;0;0;0;353;0;0;0;0;0;46;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.820;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total;37.757.534;46.007;26.836.490;18.259.192;17.990.915;17.933.648;57.267;268.277;6.268.593;168;5.469.813;121;1.938.487;23;1.060.330;9;483.353;8;378.964;1;325.842;5;296.597;7;192.798;0;172.110;3;133.869;0;127.517;0;123.452;1;85.677;1;84.856;0;60.889;0;58.953;1;56.582;0;55.555;0;55.384;0;50.552;0;47.937;0;47.896;0;38.042;1;36.662;0;34.108;0;30.252;0;28.248;1;19.220;0;16.016;0;15.774;0;15.694;0;13.828;0;10.970;0;10.324;0;10.099;0;10.022;0;9.777;0;7.126;0;6.328;0;6.290;0;6.115;0;4.976;0;4.939;0;4.826;0;3.614;0;3.049;0;2.736;0;2.409;0;2.314;0;1.820;0;1.188;0;876;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
